Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,Ultra Mobile,100848.888%,$118246480,Telecommunications,California,Los Angeles,105,http://www.inc.com/profile/ultra-mobile,1
2,TRYFACTA,28364.738%,$34442333,IT Services,California,San Francisco,221,http://www.inc.com/profile/tryfacta,1
3,Optima Tax Relief,26006.838%,$33647276,Financial Services,California,Los Angeles,302,http://www.inc.com/profile/optima-tax-relief,1
4,Castle Medical,25485.0024%,$83662958,Health,Georgia,Atlanta,392,http://www.inc.com/profile/castle-medical,1
5,Quick Bridge Funding,24137.6762%,$44603626,Financial Services,California,Los Angeles,90,http://www.inc.com/profile/quick-bridge-funding,1
6,Drawbridge,23484.1623%,$32945188,Advertising & Marketing,California,San Francisco,100,http://www.inc.com/profile/drawbridge,1
7,StartApp,22035.7627%,$37152000,Software,New York,New York City,81,http://www.inc.com/profile/startapp,1
8,Restore Health,21752.8935%,$30485005,Health,Wisconsin,"Madison, WI",247,http://www.inc.com/profile/restore-health,3
9,Scopely,19556.3823%,$32077840,Advertising & Marketing,California,Los Angeles,120,http://www.inc.com/profile/scopely,1
10,Company.com,18887.8875%,$31090767,Business Products & Services,Georgia,Atlanta,43,http://www.inc.com/profile/companycom,1
11,Jane,18787.4014%,$56902263,Retail,Utah,"Provo-Orem, UT",53,http://www.inc.com/profile/jane,1
12,Nerium International,16616.6743%,$403093347,Consumer Products & Services,Texas,Dallas,299,http://www.inc.com/profile/nerium-international,1
13,XOOM Energy,16602.3957%,$293127045,Energy,North Carolina,Charlotte,140,http://www.inc.com/profile/xoom-energy,1
14,Adore Me,15606.4089%,$16096399,Retail,New York,New York City,55,http://www.inc.com/profile/adore-me,2
15,eLuxurySupply,14885.2247%,$18229376,Retail,Indiana,"Evansville, IN-KY",65,http://www.inc.com/profile/eluxurysupply,1
16,Goldco Precious Metals,13441.2602%,$28595350,Financial Services,California,Los Angeles,45,http://www.inc.com/profile/goldco-precious-metals,1
17,Access Point Financial,12009.912%,$29024795,Financial Services,Georgia,Atlanta,60,http://www.inc.com/profile/access-point-financial,1
18,Rant,11619.7462%,$17229902,Media,California,Los Angeles,23,http://www.inc.com/profile/rant,1
19,Aarki,11133.1885%,$31661528,Advertising & Marketing,California,San Jose,146,http://www.inc.com/profile/aarki,1
20,Aseptia,11120.999%,$23661945,Food & Beverage,North Carolina,"Raleigh-Cary, NC",112,http://www.inc.com/profile/aseptia,2
21,TATCHA,10995.9386%,$12012796,Retail,California,San Francisco,50,http://www.inc.com/profile/tatcha,1
22,iCracked,10656.2785%,$15076000,Consumer Products & Services,California,San Francisco,130,http://www.inc.com/profile/icracked,2
23,Vantage Point,8789.9064%,$21574825,Computer Hardware,Wisconsin,Chicago,16,http://www.inc.com/profile/vantage-point,2
24,Apeks Supercritical,8249.0051%,$9012417,Manufacturing,Ohio,"Columbus, OH",16,http://www.inc.com/profile/apeks-supercritical,1
25,Acordis International,8125.9441%,$9984980,IT Services,Florida,Miami,38,http://www.inc.com/profile/acordis-international,3
26,HighPoint Global,8123.2422%,$95469211,Government Services,Indiana,"Indianapolis, IN",225,http://www.inc.com/profile/highpoint-global,2
27,SkyRocket Media,8110.949%,$11819579,Advertising & Marketing,Utah,"Provo-Orem, UT",31,http://www.inc.com/profile/skyrocket-media,1
28,InvitedHome,8000.5927%,$11370964,Travel & Hospitality,Colorado,"Boulder, CO",76,http://www.inc.com/profile/invitedhome,1
29,AllScreen,7964.7097%,$10806711,Advertising & Marketing,California,Los Angeles,12,http://www.inc.com/profile/allscreen,1
30,ZZW Global,7904.1205%,$8665581,Energy,Oklahoma,"Oklahoma City, OK",22,http://www.inc.com/profile/zzw-global,1
31,Plant Therapy,7854.0569%,$8112979,Retail,Idaho,"Twin Falls, ID",35,http://www.inc.com/profile/plant-therapy,1
32,Global Efficient Energy,7814.6409%,$28651000,Energy,Texas,Dallas,250,http://www.inc.com/profile/global-efficient-energy,1
33,GoPole,7692.9636%,$9518092,Consumer Products & Services,New Jersey,New York City,4,http://www.inc.com/profile/gopole,1
34,The Trade Desk,6948.8053%,$202060488,Advertising & Marketing,California,"Oxnard-Thousand Oaks-Ventura, CA",250,http://www.inc.com/profile/the-trade-desk,1
35,AdTheorent,6772.1951%,$22290446,Advertising & Marketing,New York,New York City,110,http://www.inc.com/profile/adtheorent,1
36,Kabbage,6722.3868%,$40193000,Financial Services,Georgia,Atlanta,196,http://www.inc.com/profile/kabbage,1
37,Seeking Health,6181.4884%,$6711205,Health,Washington,"Mount Vernon-Anacortes, WA",14,http://www.inc.com/profile/seeking-health,1
38,SearchMarketers.com,6146.3327%,$10026051,Advertising & Marketing,California,Los Angeles,11,http://www.inc.com/profile/searchmarketerscom,2
39,Crest Financial Services,6142.1044%,$115102095,Financial Services,Utah,Salt Lake City,207,http://www.inc.com/profile/crest-financial-services,1
40,Muscle Up Marketing,5967.3718%,$6088911,Advertising & Marketing,Georgia,Atlanta,10,http://www.inc.com/profile/muscle-up-marketing,1
41,Meister Cook,5905.0153%,$12428460,Manufacturing,Indiana,"Fort Wayne, IN",2,http://www.inc.com/profile/meister-cook,2
42,Onyx Distribution,5865.6863%,$6085000,Consumer Products & Services,California,Los Angeles,4,http://www.inc.com/profile/onyx-distribution,1
43,Critical Mix,5789.9642%,$32866000,Business Products & Services,Connecticut,"Bridgeport-Stamford-Norwalk, CT",101,http://www.inc.com/profile/critical-mix,1
44,CTC Transportation Insurance Services,5645.5921%,$13868193,Insurance,California,San Diego,60,http://www.inc.com/profile/ctc-transportation-insurance-services,1
45,Noonday Collection,5511.7378%,$11835604,Retail,Texas,Austin,44,http://www.inc.com/profile/noonday-collection,1
46,J.W. Logistics,5509.9081%,$44965826,Logistics & Transportation,Texas,Dallas,200,http://www.inc.com/profile/jw-logistics,1
47,Entrust Energy,5410.1577%,$132072639,Energy,Texas,Houston,120,http://www.inc.com/profile/entrust-energy,1
48,Gainsight,5313.7267%,$5562117,Software,California,San Francisco,187,http://www.inc.com/profile/gainsight,1
49,BioPoint,5301.6868%,$7294978,Health,Massachusetts,Boston,55,http://www.inc.com/profile/biopoint,1
50,ReVamp Electronics,5260.8698%,$8198807,Business Products & Services,Illinois,Chicago,21,http://www.inc.com/profile/revamp-electronics,1
51,Signal,5243.9703%,$17246916,Software,Illinois,Chicago,139,http://www.inc.com/profile/signal,1
52,Crescent Enterprise Solutions,5194.1467%,$17718715,IT Services,California,Los Angeles,27,http://www.inc.com/profile/crescent-enterprise-solutions,1
53,FITBIT,5057.2783%,$745433000,Health,California,San Francisco,579,http://www.inc.com/profile/fitbit,1
54,Acoma Energy,4908.1279%,$11804508,Energy,Colorado,"Denver-Aurora, CO",14,http://www.inc.com/profile/acoma-energy,1
55,Mac Warehouse,4800.7347%,$5303232,Computer Hardware,Utah,Salt Lake City,18,http://www.inc.com/profile/mac-warehouse,1
56,FACILITY SOLUTIONS,4786.2827%,$6092657,Construction,South Carolina,"Spartanburg, SC",25,http://www.inc.com/profile/facility-solutions,1
57,Clinical Ink,4613.7719%,$5932989,Health,Pennsylvania,Philadelphia,98,http://www.inc.com/profile/clinical-ink,1
58,PosiGen,4500.4162%,$68749080,Energy,Louisiana,"New Orleans-Metairie-Kenner, LA",146,http://www.inc.com/profile/posigen,1
59,Physicians Toxicology Laboratory,4415.1383%,$9008604,Health,Florida,Tampa,37,http://www.inc.com/profile/physicians-toxicology-laboratory,1
60,Base Commerce,4400.8363%,$19903193,Financial Services,Arizona,Phoenix,39,http://www.inc.com/profile/base-commerce,2
61,Ampush,4399.2518%,$15202027,Software,California,San Francisco,130,http://www.inc.com/profile/ampush,1
62,WePay,4354.4857%,$24900575,Software,California,San Jose,93,http://www.inc.com/profile/wepay,1
63,Analytica,4248.2847%,$8842237,IT Services,District of Columbia,"Washington, DC",42,http://www.inc.com/profile/analytica,2
64,Swift Capital,4237.1496%,$27540900,Financial Services,Delaware,Philadelphia,115,http://www.inc.com/profile/swift-capital,2
65,Local Search Group,4213.4033%,$9405376,Advertising & Marketing,Texas,Houston,20,http://www.inc.com/profile/local-search-group,1
66,Toad Murphy,4180.7997%,$6426465,Consumer Products & Services,California,San Francisco,24,http://www.inc.com/profile/toad-murphy,1
67,HAYSTACKID,4171.0898%,$4400333,IT Services,Massachusetts,Boston,68,http://www.inc.com/profile/haystackid,1
68,Trident Technologies,4161.1732%,$16009398,Government Services,Alabama,"Huntsville, AL",160,http://www.inc.com/profile/trident-technologies,2
69,USTRP,4160.7742%,$6382725,Financial Services,Texas,"Kerrville, TX",34,http://www.inc.com/profile/ustrp,1
70,Fresh Meal Plan,4127.5285%,$10856124,Food & Beverage,Florida,Miami,150,http://www.inc.com/profile/fresh-meal-plan,1
71,AppDirect,4074.2642%,$18131000,Software,California,San Francisco,250,http://www.inc.com/profile/appdirect,1
72,Angel Dough Ventures,4062.5928%,$6896667,Business Products & Services,New York,New York City,16,http://www.inc.com/profile/angel-dough-ventures,1
73,DG3 Media Group,4061.2854%,$8145300,Advertising & Marketing,Florida,"Orlando, FL",30,http://www.inc.com/profile/dg3-media-group,2
74,eSalon,4047.7631%,$16989694,Consumer Products & Services,California,Los Angeles,80,http://www.inc.com/profile/esalon,1
75,AKDY Imports,3996.5649%,$10733000,Consumer Products & Services,California,Los Angeles,35,http://www.inc.com/profile/akdy-imports,1
76,Kukui,3943.4973%,$4154653,Software,California,San Jose,86,http://www.inc.com/profile/kukui,1
77,Mid America Logistics,3918.431%,$22118489,Logistics & Transportation,Missouri,"St. Louis, MO-IL",47,http://www.inc.com/profile/mid-america-logistics,1
78,Sprout Social,3918.0692%,$15164836,Software,Illinois,Chicago,180,http://www.inc.com/profile/sprout-social,1
79,InsureMonkey,3777.0585%,$6245980,Software,Nevada,"Las Vegas-Paradise, NV",132,http://www.inc.com/profile/insuremonkey,1
80,Lynx Technology Partners,3739.5826%,$7946477,Security,New York,New York City,65,http://www.inc.com/profile/lynx-technology-partners,1
81,6 Pack Fitness,3733.4357%,$11473588,Consumer Products & Services,California,San Francisco,26,http://www.inc.com/profile/6-pack-fitness,2
82,Skratch Labs,3711.5155%,$3890795,Food & Beverage,Colorado,"Denver-Aurora, CO",20,http://www.inc.com/profile/skratch-labs,1
83,Excel Group,3702.0713%,$16590110,Real Estate,Virginia,"Washington, DC",400,http://www.inc.com/profile/excel-group,1
84,LED Supply Co,3687.8684%,$7613161,Business Products & Services,Colorado,"Denver-Aurora, CO",14,http://www.inc.com/profile/led-supply-co,2
85,ConsultADD,3662.1315%,$6768827,IT Services,New Jersey,New York City,100,http://www.inc.com/profile/consultadd,1
86,Prosper Marketplace,3618.127%,$81317000,Financial Services,California,San Francisco,457,http://www.inc.com/profile/prosper-marketplace,2
87,E-Telequote Insurance,3613.006%,$5102747,Insurance,Florida,Tampa,80,http://www.inc.com/profile/e-telequote-insurance,1
88,Cardlytics,3596.7152%,$53489473,Advertising & Marketing,Georgia,Atlanta,273,http://www.inc.com/profile/cardlytics,1
89,Redbooth,3595.9951%,$4953077,Software,California,San Francisco,70,http://www.inc.com/profile/redbooth,1
90,RocketDrop,3576.5254%,$190321699,Business Products & Services,New Hampshire,Boston,15,http://www.inc.com/profile/rocketdrop,2
91,Bizness Apps,3571.6381%,$7643396,Software,California,San Francisco,70,http://www.inc.com/profile/bizness-apps,2
92,LLT Group,3559.9984%,$4584697,Advertising & Marketing,Illinois,Chicago,9,http://www.inc.com/profile/llt-group,1
93,CloudLock,3556.7619%,$9137919,Security,Massachusetts,Boston,82,http://www.inc.com/profile/cloudlock,1
94,CATMEDIA,3545.1732%,$17016689,Government Services,Georgia,Atlanta,27,http://www.inc.com/profile/catmedia,2
95,Cognitive Medical Systems,3499.3352%,$5175844,Health,California,San Diego,60,http://www.inc.com/profile/cognitive-medical-systems,1
96,Asanda AVEDA Spa Lounge,3429.8319%,$4200500,Consumer Products & Services,New York,New York City,100,http://www.inc.com/profile/asanda-aveda-spa-lounge,1
97,Marketsmith,3420.0405%,$103091321,Advertising & Marketing,New Jersey,New York City,25,http://www.inc.com/profile/marketsmith,3
98,Hostwinds,3416.4908%,$3505027,IT Services,Oklahoma,"Tulsa, OK",17,http://www.inc.com/profile/hostwinds,1
99,CPSG Partners,3395.8308%,$26716502,IT Services,Texas,Dallas,161,http://www.inc.com/profile/cpsg-partners,2
100,Contently,3391.3899%,$7611265,Advertising & Marketing,New York,New York City,73,http://www.inc.com/profile/contently,1
101,Saatva,3337.3573%,$28629165,Retail,Connecticut,"Bridgeport-Stamford-Norwalk, CT",71,http://www.inc.com/profile/saatva,1
102,Direct Results Marketing,3283.347%,$5428445,Advertising & Marketing,Texas,Houston,6,http://www.inc.com/profile/direct-results-marketing,1
103,Kill Cliff,3258.5851%,$8129959,Food & Beverage,Georgia,Atlanta,38,http://www.inc.com/profile/kill-cliff,1
104,AlphaSense,3256.2293%,$3634897,Software,California,San Francisco,46,http://www.inc.com/profile/alphasense,1
105,Bois Blanc Sports,3248.271%,$9716716,Retail,Virginia,"Washington, DC",17,http://www.inc.com/profile/bois-blanc-sports,1
106,Max Interactive,3233.0794%,$4794468,Consumer Products & Services,California,Los Angeles,8,http://www.inc.com/profile/max-interactive,1
107,Greensmith,3209.1451%,$16735108,Energy,Maryland,"Washington, DC",30,http://www.inc.com/profile/greensmith,1
108,Resell MFG,3208.7767%,$5730338,Business Products & Services,Florida,"Orlando, FL",20,http://www.inc.com/profile/resell-mfg,2
109,Smart Energy Today,3198.9102%,$10885777,Energy,Washington,"Olympia, WA",60,http://www.inc.com/profile/smart-energy-today,2
110,Dogs Bollocks DB5,3104.9682%,$10200869,Advertising & Marketing,California,Los Angeles,38,http://www.inc.com/profile/dogs-bollocks-db5,3
111,MCSG Technologies,3098.5495%,$9567789,IT Services,Oklahoma,"Oklahoma City, OK",158,http://www.inc.com/profile/mcsg-technologies,2
112,Impact Radius,3087.2781%,$6000816,Advertising & Marketing,California,"Santa Barbara-Santa Maria-Goleta, CA",135,http://www.inc.com/profile/impact-radius,1
113,USEReady,3058.5808%,$15445460,Software,New Jersey,New York City,125,http://www.inc.com/profile/useready,1
114,SoulPancake,3043.6123%,$3934388,Media,California,Los Angeles,12,http://www.inc.com/profile/soulpancake,1
115,Pharmapacks,3034.5387%,$31516000,Retail,New York,New York City,160,http://www.inc.com/profile/pharmapacks,1
116,VETS etc.,3017.3715%,$22337432,IT Services,California,"Salinas, CA",118,http://www.inc.com/profile/vets-etc,3
117,freshbenies,2998.9888%,$3487416,Health,Texas,Dallas,4,http://www.inc.com/profile/freshbenies,1
118,Na Ali'i,2986.7671%,$3320991,Government Services,Hawaii,"Honolulu, HI",45,http://www.inc.com/profile/na-alii,1
119,Astoria Company,2982.6181%,$3389277,Advertising & Marketing,Delaware,Philadelphia,24,http://www.inc.com/profile/astoria-company,1
120,The Newsletter Pro,2974.8571%,$3137000,Advertising & Marketing,Idaho,"Boise City-Nampa, ID",33,http://www.inc.com/profile/the-newsletter-pro,1
121,RevLocal,2967.8457%,$12518559,Advertising & Marketing,Ohio,"Columbus, OH",169,http://www.inc.com/profile/revlocal,3
122,Reliant Asset Management,2960.3546%,$105302335,Business Products & Services,Virginia,"Washington, DC",180,http://www.inc.com/profile/reliant-asset-management,2
123,VitalWare,2937.6985%,$3607510,Health,Washington,"Yakima, WA",51,http://www.inc.com/profile/vitalware,1
124,DeliverLean,2915.8689%,$8212000,Food & Beverage,Florida,Miami,130,http://www.inc.com/profile/deliverlean,1
125,The Bait Shoppe,2900.291%,$3381658,Advertising & Marketing,New York,New York City,9,http://www.inc.com/profile/the-bait-shoppe,1
126,TAG Aero,2878.9311%,$6227932,Logistics & Transportation,Florida,"Orlando, FL",7,http://www.inc.com/profile/tag-aero,1
127,Bai Brands,2865.5392%,$47935568,Food & Beverage,New Jersey,"Trenton-Ewing, NJ",250,http://www.inc.com/profile/bai-brands,2
128,Fathom Realty,2859.9871%,$18143774,Real Estate,Texas,Dallas,11,http://www.inc.com/profile/fathom-realty,2
129,Love With Food,2859.1453%,$3022619,Food & Beverage,California,San Francisco,15,http://www.inc.com/profile/love-with-food,1
130,Knot Standard,2848.6753%,$3339876,Retail,New York,New York City,50,http://www.inc.com/profile/knot-standard,1
131,eaHELP,2836.951%,$4583582,Business Products & Services,Georgia,Atlanta,30,http://www.inc.com/profile/eahelp,1
132,Plexus Worldwide,2833.1357%,$310441497,Health,Arizona,Phoenix,220,http://www.inc.com/profile/plexus-worldwide,2
133,Kohana Coffee,2809.6025%,$5247119,Food & Beverage,Texas,Austin,25,http://www.inc.com/profile/kohana-coffee,2
134,Spirit Monkey,2799.9819%,$3048490,Consumer Products & Services,Texas,"San Antonio, TX",15,http://www.inc.com/profile/spirit-monkey,1
135,EverBright Media,2777.4184%,$8430836,Media,Florida,Miami,6,http://www.inc.com/profile/everbright-media,1
136,OutboundEngine,2774.4784%,$4413934,Software,Texas,Austin,100,http://www.inc.com/profile/outboundengine,1
137,Patriot Group International,2773.0546%,$28325848,Government Services,Virginia,"Washington, DC",100,http://www.inc.com/profile/patriot-group-international,2
